Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
-0.897673879196766,1.01560199071363,-1.33575163424152,-1.31105214820513
-1.13920048346495,-0.13153881205026,-1.33575163424152,-1.31105214820513
-1.38072708773314,0.327317509055298,-1.39239928624498,-1.31105214820513
-1.50149038986724,0.0978893485025193,-1.27910398223806,-1.31105214820513
-1.01843718133086,1.24503015126641,-1.33575163424152,-1.31105214820513
-0.535383972794483,1.93331463292475,-1.16580867823115,-1.0486667949953
-1.50149038986724,0.786173830160855,-1.33575163424152,-1.17985947160021
-1.01843718133086,0.786173830160855,-1.27910398223806,-1.31105214820513
-1.74301699413542,-0.360966972603039,-1.33575163424152,-1.31105214820513
-1.13920048346495,0.0978893485025193,-1.27910398223806,-1.44224482481005
-0.535383972794483,1.47445831181919,-1.27910398223806,-1.31105214820513
-1.25996378559905,0.786173830160855,-1.22245633023461,-1.31105214820513
-1.25996378559905,-0.13153881205026,-1.33575163424152,-1.44224482481005
-1.86378029626952,-0.13153881205026,-1.50569459025189,-1.44224482481005
-0.0523307642581081,2.16274279347753,-1.44904693824843,-1.31105214820513
-0.173094066392202,3.08045543568864,-1.27910398223806,-1.0486667949953
-0.535383972794483,1.93331463292475,-1.39239928624498,-1.0486667949953
-0.897673879196766,1.01560199071363,-1.33575163424152,-1.17985947160021
-0.173094066392202,1.70388647237197,-1.16580867823115,-1.17985947160021
-0.897673879196766,1.70388647237197,-1.27910398223806,-1.17985947160021
-0.535383972794483,0.786173830160855,-1.16580867823115,-1.31105214820513
-0.897673879196766,1.47445831181919,-1.27910398223806,-1.0486667949953
-1.50149038986724,1.24503015126641,-1.56234224225535,-1.31105214820513
-0.897673879196766,0.556745669608076,-1.16580867823115,-0.917474118390381
-1.25996378559905,0.786173830160855,-1.05251337422423,-1.31105214820513
-1.01843718133086,-0.13153881205026,-1.22245633023461,-1.31105214820513
-1.01843718133086,0.786173830160855,-1.22245633023461,-1.0486667949953
-0.776910577062672,1.01560199071363,-1.27910398223806,-1.31105214820513
-0.776910577062672,0.786173830160855,-1.33575163424152,-1.31105214820513
-1.38072708773314,0.327317509055298,-1.22245633023461,-1.31105214820513
-1.25996378559905,0.0978893485025193,-1.22245633023461,-1.31105214820513
-0.535383972794483,0.786173830160855,-1.27910398223806,-1.0486667949953
-0.776910577062672,2.39217095403031,-1.27910398223806,-1.44224482481005
-0.41462067066039,2.62159911458309,-1.33575163424152,-1.31105214820513
